wavelength,value
408.5812570275008,1155.7619047619048
408.7252968370265,1136.3333333333333
408.8693330563361,1152.952380952381
409.0133656934014,1156.7142857142858
409.15739475619444,1149.5714285714287
409.30142025268697,1150.7142857142858
409.4454421908511,1153.6190476190477
409.5894605786586,1154.3333333333333
409.73347542408146,1164.1904761904761
409.8774867350916,1151.5238095238096
410.0214945196609,1139.5238095238096
410.1654987857613,1165.6190476190477
410.30949954136474,1151.3809523809523
410.45349679444314,1171.904761904762
410.5974905529684,1172.6190476190477
410.7414808249124,1180.4285714285713
410.8854676182471,1176.3333333333333
411.02945094094446,1186.904761904762
411.1734308009763,1199.142857142857
411.3174072063146,1212.2380952380952
411.4613801649313,1215.7142857142858
411.6053496847983,1219.2857142857142
411.7493157738875,1223.0
411.89327844017083,1221.8095238095239
412.0372376916202,1232.095238095238
412.1811935362075,1234.7142857142858
412.3251459819047,1242.4285714285713
412.46909503668377,1241.4761904761904
412.6130407085165,1243.095238095238
412.75698300537493,1252.6190476190477
412.9009219352309,1245.1904761904761
413.0448575060563,1259.904761904762
413.18878972582314,1252.1904761904761
413.3327186025033,1269.142857142857
413.4766441440687,1257.3809523809523
413.62056635849126,1261.3809523809523
413.7644852537429,1269.095238095238
413.9084008377955,1276.4761904761904
414.05231311862104,1274.904761904762
414.1962221041914,1287.8095238095239
414.34012780247855,1289.2857142857142
414.4840302214543,1291.3333333333333
414.6279293690907,1279.904761904762
414.77182525335957,1295.2857142857142
414.9157178822329,1296.6190476190477
415.05960726368255,1306.2857142857142
415.20349340568043,1320.1904761904761
415.34737631619856,1311.5714285714287
415.4912560032088,1322.6666666666667
415.635132474683,1326.6190476190477
415.7790057385932,1308.4761904761904
415.9228758029112,1327.1904761904761
416.066742675609,1314.2380952380952
416.21060636465853,1310.8095238095239
416.35446687803164,1327.952380952381
416.49832422370025,1313.2380952380952
416.64217840963636,1329.3333333333333
416.78602944381186,1323.1904761904761
416.92987733419864,1316.3333333333333
417.0737220887686,1319.095238095238
417.2175637154937,1294.904761904762
417.3614022223459,1303.952380952381
417.505237617297,1295.2857142857142
417.649069908319,1314.5238095238096
417.79289910338383,1307.5238095238096
417.93672521046335,1304.2380952380952
418.08054823752957,1310.2380952380952
418.22436819255427,1307.5714285714287
418.3681850835095,1305.0
418.5119989183671,1292.5714285714287
418.6558097050991,1296.047619047619
418.79961745167725,1300.0
418.9434221660736,1294.5714285714287
419.08722385626004,1295.857142857143
419.2310225302084,1298.6190476190477
419.3748181958907,1289.2857142857142
419.5186108612789,1266.1904761904761
419.6624005343448,1268.047619047619
419.80618722306036,1257.7142857142858
419.9499709353975,1244.5714285714287
420.0937516793282,1241.4285714285713
420.2375294628243,1229.857142857143
420.38130429385774,1212.095238095238
420.5250761804004,1205.857142857143
