x-position,value
307.0,370.7761904761905
308.0,368.5355648535565
309.0,372.15862068965515
310.0,374.0366748166259
311.0,373.18639798488664
312.0,374.15843621399176
313.0,374.93203883495147
314.0,374.264192139738
315.0,373.83725910064237
316.0,374.7605263157895
317.0,377.4825327510917
318.0,374.43896103896105
319.0,370.83369330453564
320.0,372.3904761904762
321.0,374.60987654320985
322.0,372.9680365296804
323.0,374.6826484018265
324.0,373.96774193548384
325.0,374.26342710997443
326.0,374.8365650969529
327.0,377.5726495726496
328.0,372.8763557483731
329.0,373.92017738359203
330.0,378.5529411764706
331.0,372.20168067226894
332.0,374.16129032258067
333.0,371.9977777777778
334.0,373.40841584158414
335.0,374.1034482758621
336.0,375.39444444444445
337.0,374.7337962962963
338.0,373.7632183908046
339.0,369.8950749464668
340.0,375.6902887139108
341.0,376.14797136038186
342.0,371.37697516930024
343.0,374.7139423076923
344.0,373.36036036036035
345.0,377.514450867052
346.0,372.07805907172997
347.0,376.5883905013193
348.0,370.87581699346407
349.0,372.5309917355372
350.0,374.6657608695652
351.0,380.48605577689244
352.0,379.1111111111111
353.0,373.9977728285078
354.0,372.94065934065935
355.0,372.62894736842105
356.0,372.7657430730479
357.0,375.688679245283
358.0,374.6384039900249
359.0,376.8157894736842
360.0,378.07142857142856
361.0,380.0868167202572
362.0,375.4935400516796
363.0,374.16183574879227
364.0,374.4234693877551
365.0,372.5813953488372
366.0,374.8767123287671
367.0,374.3915211970075
368.0,373.32530120481925
369.0,377.28395061728395
370.0,377.68508287292815
371.0,376.529262086514
372.0,372.0973451327434
373.0,372.10574712643677
374.0,373.10917030567686
375.0,374.4622871046229
376.0,376.0482573726542
377.0,372.6
378.0,374.9083557951482
379.0,382.2142857142857
380.0,378.7190082644628
381.0,377.5362776025237
382.0,376.35057471264366
383.0,374.87262872628725
384.0,376.30337078651684
385.0,369.8366890380313
386.0,374.61737089201876
387.0,381.99619771863115
388.0,374.9739583333333
389.0,374.1729490022173
390.0,380.0494296577947
391.0,380.07530120481925
392.0,373.35011441647595
393.0,381.2449438202247
394.0,374.26485148514854
395.0,372.0023255813953
396.0,373.46949602122015
397.0,373.8328981723238
398.0,372.7788844621514
399.0,373.87745098039215
400.0,375.1051051051051
401.0,374.73937677053823
402.0,381.9035714285714
403.0,371.0945945945946
404.0,378.6516129032258
405.0,373.4936974789916
406.0,370.0695296523517
407.0,373.2751842751843
408.0,373.51146788990826
409.0,373.4699738903394
410.0,383.7047619047619
411.0,376.8767123287671
412.0,377.1524064171123
413.0,373.37142857142857
414.0,380.9008620689655
415.0,384.97747747747746
416.0,378.31111111111113
417.0,375.50515463917526
418.0,377.6823529411765
419.0,381.32738095238096
420.0,376.54371584699453
421.0,384.85769230769233
422.0,382.7279411764706
423.0,387.83684210526314
424.0,378.44135802469134
425.0,381.297385620915
426.0,385.61206896551727
427.0,389.9015544041451
428.0,387.4811715481172
429.0,388.26794258373207
430.0,389.5598086124402
431.0,392.121546961326
432.0,407.0695652173913
433.0,403.46363636363634
434.0,411.7368421052632
435.0,430.93220338983053
436.0,433.11290322580646
437.0,429.3636363636364
438.0,470.8536585365854
439.0,476.8536585365854
440.0,493.35
441.0,503.8
442.0,533.3666666666667
443.0,525.081081081081
